Element Number	Equivalent (von-Mises) Stress (psi)
456	2.4337
457	1.8611
458	1.7582
459	1.935
460	2.3029
461	1.8201
462	2.1529
463	1.5683
464	1.5414
465	2.1301
466	2.3131
467	1.6759
468	1.6992
469	1.7572
470	1.6347
471	1.6747
472	1.6688
473	1.5891
474	1.8868
475	1.9091
476	1.9629
477	0.43676
478	0.40315
479	0.40415
480	0.36
481	0.47968
482	0.44629
483	0.31139
484	0.29291
485	0.41076
486	0.54459
487	0.60485
488	0.46302
489	0.49945
490	0.38235
491	0.47268
492	0.32712
493	0.49983
494	0.64814
495	0.57207
496	0.45953
497	1.7962
498	1.8058
499	1.7414
500	1.5237
501	1.35
502	1.2941
503	1.4185
504	1.3432
505	1.1665
506	1.1255
507	1.2036
508	1.3374
509	1.2903
510	1.3749
511	1.4927
512	2.0502
513	2.4551
514	1.9383
515	2.2545
516	1.9153
517	2.0646
518	1.6732
519	1.5972
520	1.8513
521	1.4953
522	1.4994
523	2.0044
524	1.7217
525	1.575
526	1.5554
527	2.0714
528	2.0671
529	1.6122
530	1.8891
531	1.4566
532	2.15
533	1.8566
534	2.0968
535	1.5727
536	2.0391
537	2.2855
538	1.8956
539	0.42661
540	0.45965
541	0.66473
542	0.54062
543	0.55376
544	0.62725
545	0.36813
546	0.34217
547	0.48468
548	0.58201
549	0.45465
550	0.53647
551	0.53497
552	0.61539
553	0.45062
554	0.56154
555	0.33707
556	0.39479
557	0.30449
558	3.1435
559	3.0266
560	2.9914
561	3.2378
562	1.9721
563	1.8702
564	2.4421
565	1.9771
566	1.7771
567	2.5222
568	2.3228
569	2.3369
570	2.568
571	2.4534
572	2.6911
573	2.58
574	2.8956
575	2.9864
576	2.4724
577	2.7824
578	2.3959
579	2.1202
580	6.3995
581	6.8344
582	6.5165
583	6.9327
584	7.0686
585	7.7978
586	7.4186
587	7.1129
588	7.0585
589	6.5098
590	6.9246
591	6.6133
592	6.604
593	7.5257
594	7.3549
595	7.7604
596	7.3616
597	7.9441
598	7.7439
599	7.343
600	1.5257
601	1.7239
602	1.7572
603	2.0912
604	1.7426
605	2.3863
606	1.529
607	1.5711
608	1.0565
609	1.1077
610	1.078
611	1.3308
612	1.2309
613	1.7599
614	1.0176
615	1.3062
616	7.0555
617	6.7518
618	6.4395
619	6.7515
620	7.1434
621	6.9163
622	6.612
623	6.9167
624	6.6131
625	6.0822
626	5.9919
627	5.9034
628	6.1921
629	6.6921
630	5.7731
631	6.0844
632	2.7961
633	2.3134
634	2.2111
635	2.2215
636	3.2083
637	2.9527
638	3.2122
639	2.9542
640	2.323
641	2.5009
642	2.2908
643	2.3171
644	2.3047
645	3.0463
646	2.7134
647	2.7138
648	2.5176
649	2.7181
650	1.0609
651	0.9049
652	0.96618
653	1.1936
654	1.1984
655	0.94045
656	1.2888
657	0.86884
658	1.0218
659	1.3102
660	1.2988
661	1.349
662	1.4221
663	0.99515
664	1.359
665	1.5069
666	1.447
667	1.2443
668	1.8395
669	1.8659
670	2.0106
671	1.785
672	2.1235
673	2.4896
674	1.8012
675	2.0798
676	2.4138
677	2.8738
678	1.3465
679	1.3719
680	1.9095
681	1.8935
682	2.7139
683	1.3037
684	1.6585
685	2.0067
686	0.45967
687	0.48646
688	0.45174
689	0.4849
690	0.51287
691	0.51208
692	0.3783
693	0.34755
694	0.5006
695	0.49321
696	0.41043
697	0.3241
698	1.5877
699	1.6201
700	1.7905
701	1.8482
702	1.3939
703	1.4887
704	1.7729
705	1.6401
706	1.7969
707	1.5331
708	1.6198
709	1.4933
710	1.5015
711	1.6083
712	1.7779
713	1.8116
714	4.6114
715	4.7869
716	4.5303
717	4.3669
718	5.8482
719	6.9031
720	6.513
721	6.1085
722	5.4512
723	5.2445
724	3.8519
725	4.2349
726	6.1513
727	5.6599
728	7.0168
729	5.0306
730	4.5442
731	4.5441
732	5.8153
733	6.309
734	7.0587
735	5.3873
736	2.7459
737	3.66
738	4.1451
739	3.2171
740	3.7755
741	3.375
742	4.0692
743	2.5878
744	4.4561
745	2.7617
746	2.9466
747	3.5635
748	4.4687
749	4.338
750	0.23224
751	0.3419
752	0.47738
753	0.33548
754	0.17017
755	0.1789
756	0.33814
757	0.21092
758	3.3879e-002
759	4.4201e-002
760	0.19433
761	4.7226e-002
762	0.13348
763	1.9668e-002
764	2.3028e-002
765	10.857
766	11.051
767	11.223
768	11.841
769	11.467
770	11.237
771	11.64
772	12.557
773	12.726
774	11.458
775	11.856
776	12.043
777	12.041
778	12.74
779	13.065
780	12.622
781	13.2
782	12.759
783	12.605
784	12.753
785	12.946
786	12.835
787	13.392
788	13.06
789	12.946
790	13.961
791	13.802
792	14.359
793	14.897
794	14.302
795	13.769
796	13.963
797	13.803
798	15.101
799	14.564
800	14.446
801	14.528
802	14.964
803	14.447
804	14.893
805	0.23455
806	0.22481
807	0.49149
808	0.48025
809	0.33841
810	0.46598
811	0.48261
812	0.36941
813	0.42608
814	0.43664
815	0.36006
816	0.31497
817	0.2464
818	1.4881
819	1.5662
820	1.2706
821	1.3143
822	1.7899
823	1.7272
824	1.265
825	1.1158
826	0.98468
827	1.2581
828	1.7361
829	1.6808
830	1.2278
831	1.2499
832	1.4482
833	1.1508
834	1.4434
835	13.411
836	13.556
837	13.707
838	13.557
839	14.282
840	15.144
841	14.854
842	15.141
843	14.852
844	14.73
845	15.517
846	15.574
847	16.367
848	15.999
849	15.787
850	16.696
851	15.905
852	15.788
853	16.488
854	16.559
855	0.67888
856	0.82253
857	0.72363
858	0.8675
859	0.85419
860	0.75921
861	0.97372
862	1.0563
863	0.86853
864	0.94923
865	1.0535
866	1.0047
867	13.241
868	13.112
869	14.966
870	15.632
871	13.375
872	13.241
873	13.835
874	14.908
875	14.248
876	15.897
877	15.233
878	14.55
879	14.327
880	15.115
881	15.76
882	14.551
883	14.325
884	15.689
885	15.117
886	15.262
887	0.8165
888	0.80082
889	0.95383
890	1.0118
891	1.1341
892	1.1812
893	1.0551
894	1.0281
895	0.89013
896	1.0497
897	1.12
898	0.89576
899	1.0887
900	1.1677
901	0.93047
902	0.8934
903	0.97898
904	1.0909
905	5.929
906	6.0827
907	5.9304
908	5.7666
909	5.9131
910	5.7735
911	6.0832
912	6.408
913	6.5406
914	5.917
915	6.0634
916	6.3778
917	6.696
918	6.5501
919	6.5447
920	6.6825
921	6.0883
922	6.3997
923	6.5528
924	6.3835
925	0.3159
926	0.23944
927	0.23742
928	0.40831
929	0.18779
930	0.13886
931	0.11659
932	0.32055
933	0.15537
934	0.44047
935	0.20848
936	0.15849
937	0.20468
938	0.12604
939	0.16276
940	0.30581
941	0.14264
942	0.38306
943	0.21885
944	0.16682
945	0.33466
946	0.20342
947	3.6989
948	4.2312
949	3.6083
950	3.9722
951	4.5481
952	6.1654
953	5.7275
954	4.0193
955	4.3041
956	5.3067
957	4.9595
958	3.9178
959	4.3657
960	5.0534
961	5.2019
962	6.4926
963	5.9176
964	4.5887
965	4.5991
966	5.4449
967	5.9654
968	0.83262
969	0.51993
970	0.52388
971	0.76689
972	0.67659
973	0.50278
974	0.58511
975	0.61064
976	0.62285
977	0.64492
978	0.67422
979	0.58109
980	0.70013
981	0.68358
982	0.80113
983	0.79679
984	0.7205
985	0.83774
986	0.84356
987	0.79437
988	0.77344
989	0.886
990	0.91407
991	0.62045
992	0.55229
993	0.71912
994	0.82167
995	0.89641
996	0.83102
997	0.73039
998	0.55138
999	0.59716
1000	0.67776
1001	0.80527
1002	0.97449
1003	0.95955
1004	0.92679
1005	0.97583
1006	0.89061
1007	12.961
1008	13.059
1009	9.2361
1010	9.0581
1011	9.2345
1012	9.4114
1013	10.441
1014	11.917
1015	11.384
1016	14.777
1017	12.957
1018	11.286
1019	11.286
1020	13.395
1021	11.918
1022	14.776
1023	13.061
1024	14.495
1025	11.594
1026	11.7
1027	11.885
1028	11.913
1029	11.957
1030	11.931
1031	11.609
1032	11.581
1033	11.727
1034	11.692
1035	11.703
1036	11.766
1037	11.775
1038	11.767
1039	11.847
1040	11.869
1041	11.6
1042	11.773
1043	11.732
1044	11.706
1045	1.5202
1046	1.585
1047	1.4243
1048	1.3555
1049	1.3056
1050	1.421
1051	1.3474
1052	1.2177
1053	1.0757
1054	1.0827
1055	1.1016
1056	1.2444
1057	1.3735
1058	1.0202
1059	0.92558
1060	0.95051
1061	0.87306
1062	0.94123
1063	1.1423
1064	2.864
1065	3.5566
1066	1.5743
1067	1.6205
1068	3.6604
1069	2.8449
1070	2.2703
1071	1.8025
1072	1.6868
1073	1.6879
1074	2.9778
1075	4.0722
1076	2.0387
1077	1.9982
1078	1.6347
1079	1.6487
1080	2.781
1081	3.6361
1082	3.4599
1083	4.2762
1084	3.4144
1085	4.0182
1086	1.7431
1087	2.4924
1088	2.8172
1089	1.9292
1090	1.993
1091	5.8331
1092	6.136
1093	6.1443
1094	6.7908
1095	4.7635
1096	4.6325
1097	4.8541
1098	4.7232
1099	6.1771
1100	6.1238
1101	6.6021
1102	6.4466
1103	4.3557
1104	4.5243
1105	4.1012
1106	4.3266
1107	3.4083
1108	3.1547
1109	3.6175
1110	2.7159
1111	2.4702
1112	2.6513
1113	2.4299
1114	2.8802
1115	1.9857
