Node Number	X Location (in)	Y Location (in)	Z Location (in)	
33787	0.5	-0.38801	2.9772	
33788	0.5	-0.38453	2.9293	
33789	0.46518	-0.42244	2.9881	
33790	0.45339	-0.43464	2.9422	
33791	0.49011	-0.46075	2.94	
33792	0.48232	-0.44697	2.9875	
33793	0.5	-0.40544	2.875	
33794	0.45307	-0.41638	2.875	
33795	0.52326	-0.45255	2.9051	
33796	0.5	-0.38453	2.9043	
33797	0.45339	-0.43464	2.9172	
33798	0.49011	-0.46075	2.915	
33799	0.54665	-0.47594	3.2312	
33800	0.51768	-0.48232	3.25	
33801	0.51216	-0.47624	3.2203	
33802	1.9473	-1.8766	0.89682	
33803	1.9586	-1.8878	0.85666	
33804	1.9489	-1.9014	0.87472	
33805	1.9327	-1.862	0.86545	
33806	1.9247	-1.854	0.93447	
33807	1.9252	-1.9018	0.89419	
33808	1.9371	-1.8898	0.89419	
33809	1.9015	-1.8308	0.89724	
33810	1.9214	-1.8507	0.88427	
33811	1.8999	-1.8623	0.90634	
33812	1.9021	-1.8314	0.97212	
33813	1.8902	-1.8195	0.91606	
33814	1.8809	-1.8102	0.95014	
33815	1.8886	-1.851	0.92516	
33816	1.8682	-1.8328	0.97054	
33817	1.8795	-1.8088	1.0098	
33818	1.8696	-1.7989	0.96897	
33819	1.8569	-1.8215	0.98937	
33820	1.8569	-1.7862	1.0474	
33821	1.8401	-1.7693	1.0176	
33822	1.8583	-1.7876	0.98779	
33823	1.8456	-1.8102	1.0082	
33824	1.8343	-1.7636	1.0851	
33825	1.8288	-1.758	1.0364	
33826	1.8195	-1.7488	1.0693	
33827	1.8065	-1.7747	1.0612	
33828	1.8343	-1.7989	1.027	
33829	1.8117	-1.741	1.1227	
33830	1.8082	-1.7375	1.0881	
33831	1.7952	-1.7634	1.08	
33832	1.7891	-1.7184	1.1604	
33833	1.768	-1.6973	1.1283	
33834	1.7969	-1.7262	1.1069	
33835	1.7609	-1.7255	1.1444	
33836	1.7665	-1.6958	1.198	
33837	1.7567	-1.686	1.1472	
33838	1.7496	-1.7142	1.1632	
33839	1.744	-1.6732	1.2357	
33840	1.7214	-1.6507	1.2064	
33841	1.7454	-1.6747	1.166	
33842	1.7048	-1.7048	1.2003	
33843	1.7097	-1.6727	1.2378	
33844	1.7383	-1.7029	1.182	
33845	1.7214	-1.6506	1.2733	
33846	1.7101	-1.6394	1.2252	
33847	1.6984	-1.6614	1.2567	
33848	1.6988	-1.6281	1.311	
33849	1.6988	-1.6281	1.2441	
33850	1.677	-1.6063	1.2784	
33851	1.6871	-1.6501	1.2755	
33852	1.6762	-1.6055	1.3486	
33853	1.6657	-1.595	1.2972	
33854	1.649	-1.6157	1.3243	
33855	1.6758	-1.6388	1.2943	
33856	1.6536	-1.5829	1.3863	
33857	1.633	-1.5623	1.3458	
33858	1.6544	-1.5837	1.316	
33859	1.6172	-1.5782	1.3778	
33860	1.6377	-1.6044	1.3432	
33861	1.631	-1.5603	1.4239	
33862	1.6019	-1.5312	1.4063	
33863	1.6217	-1.551	1.3646	
33864	1.6059	-1.5669	1.3967	
33865	1.6084	-1.5377	1.4616	
33866	1.5906	-1.5199	1.4252	
33867	1.5946	-1.5556	1.4155	
33868	1.5746	-1.5407	1.4501	
33869	1.5858	-1.5151	1.4992	
33870	1.5793	-1.5086	1.444	
33871	1.5651	-1.4943	1.4907	
33872	1.5633	-1.5294	1.4689	
33873	1.5632	-1.4925	1.5369	
33874	1.5538	-1.483	1.5095	
33875	1.552	-1.5181	1.4878	
33876	1.5406	-1.4699	1.5745	
33877	1.5114	-1.4407	1.5469	
33878	1.5425	-1.4718	1.5283	
33879	1.5168	-1.4814	1.5551	
33880	1.518	-1.4473	1.6122	
33881	1.5001	-1.4294	1.5657	
33882	1.5055	-1.4701	1.5739	
33883	1.486	-1.4506	1.6003	
33884	1.4955	-1.4247	1.6498	
33885	1.4717	-1.401	1.6253	
33886	1.4888	-1.4181	1.5845	
33887	1.4747	-1.4393	1.6192	
33888	1.4729	-1.4022	1.6875	
33889	1.4604	-1.3897	1.6441	
33890	1.4634	-1.428	1.638	
33891	1.4382	-1.4028	1.6776	
33892	1.4503	-1.3796	1.7251	
33893	1.4492	-1.3784	1.6629	
33894	1.4286	-1.3579	1.6904	
33895	1.4269	-1.3915	1.6964	
33896	1.4277	-1.357	1.7628	
33897	1.405	-1.3343	1.7397	
33898	1.4173	-1.3466	1.7092	
33899	1.393	-1.3577	1.7606	
33900	1.4156	-1.3802	1.7153	
33901	1.4051	-1.3344	1.8004	
33902	1.3937	-1.323	1.7585	
33903	1.3817	-1.3464	1.7795	
33904	1.3825	-1.3118	1.8381	
33905	1.3824	-1.3117	1.7773	
33906	1.3609	-1.2902	1.8033	
33907	1.3704	-1.3351	1.7983	
33908	1.3599	-1.2892	1.8757	
33909	1.3373	-1.2666	1.8526	
33910	1.3496	-1.2789	1.8221	
33911	1.3591	-1.3238	1.8171	
33912	1.3365	-1.2989	1.8513	
33913	1.3373	-1.2666	1.9134	
33914	1.326	-1.2553	1.8714	
33915	1.3252	-1.2876	1.8701	
33916	1.3147	-1.244	1.951	
33917	1.3147	-1.244	1.8902	
33918	1.2931	-1.2224	1.9162	
33919	1.2793	-1.2793	1.8902	
33920	1.2578	-1.2578	1.9162	
33921	1.2786	-1.2422	1.9513	
33922	1.314	-1.2763	1.889	
33923	1.2921	-1.2214	1.9887	
33924	1.2695	-1.1988	1.9655	
33925	1.2818	-1.2111	1.935	
33926	1.2673	-1.2309	1.9701	
33927	1.2695	-1.1988	2.0263	
33928	1.2582	-1.1875	1.9843	
33929	1.256	-1.2196	1.989	
33930	1.247	-1.1762	2.064	
33931	1.2469	-1.1762	2.0032	
33932	1.2254	-1.1547	2.0291	
33933	1.2447	-1.2083	2.0078	
33934	1.2185	-1.1831	2.0466	
33935	1.2244	-1.1537	2.1016	
33936	1.2018	-1.1311	2.0784	
33937	1.2141	-1.1434	2.0479	
33938	1.2072	-1.1718	2.0654	
33939	1.2018	-1.1311	2.1393	
33940	1.1905	-1.1198	2.0972	
33941	1.1959	-1.1605	2.0842	
33942	1.1737	-1.1384	2.1228	
33943	1.1792	-1.1085	2.1769	
33944	1.1792	-1.1085	2.1161	
33945	1.1576	-1.0869	2.142	
33946	1.1624	-1.1271	2.1416	
33947	1.1566	-1.0859	2.2146	
33948	1.134	-1.0633	2.1913	
33949	1.1463	-1.0756	2.1609	
33950	1.1318	-1.0964	2.1978	
33951	1.1511	-1.1158	2.1605	
33952	1.134	-1.0633	2.2523	
33953	1.1227	-1.052	2.2102	
33954	1.1205	-1.0851	2.2166	
33955	1.1114	-1.0407	2.2899	
33956	1.1115	-1.0407	2.229	
33957	1.0899	-1.0192	2.2549	
33958	1.1092	-1.0738	2.2355	
33959	1.0831	-1.0473	2.2708	
33960	1.0888	-1.0181	2.3276	
33961	1.0663	-0.99559	2.3042	
33962	1.0786	-1.0079	2.2738	
33963	1.0718	-1.036	2.2896	
33964	1.0662	-0.99552	2.3652	
33965	1.055	-0.98429	2.3231	
33966	1.0376	-1.0022	2.349	
33967	1.0605	-1.0248	2.3084	
33968	1.0436	-0.97293	2.4029	
33969	1.0437	-0.973	2.3419	
33970	1.0221	-0.95144	2.3678	
33971	1.0263	-0.99094	2.3679	
33972	1.0211	-0.95034	2.4405	
33973	0.99855	-0.92784	2.4172	
33974	1.0109	-0.94014	2.3867	
33975	1.015	-0.97964	2.3867	
33976	0.99399	-0.95864	2.4221	
33977	0.99846	-0.92775	2.4782	
33978	0.98726	-0.91655	2.436	
33979	0.9827	-0.94734	2.4409	
33980	0.97587	-0.90516	2.5158	
33981	0.97596	-0.90525	2.4548	
33982	0.95441	-0.88369	2.4807	
33983	0.95311	-0.91775	2.4889	
33984	0.9714	-0.93605	2.4598	
33985	0.95328	-0.88257	2.5535	
33986	0.93081	-0.8601	2.5301	
33987	0.94311	-0.8724	2.4996	
33988	0.91872	-0.88336	2.5512	
33989	0.94181	-0.90646	2.5077	
33990	0.93069	-0.85998	2.5911	
33991	0.91951	-0.8488	2.5489	
33992	0.90742	-0.87207	2.57	
33993	0.9081	-0.83739	2.6288	
33994	0.90822	-0.83751	2.5677	
33995	0.88666	-0.81595	2.5936	
33996	0.89613	-0.86077	2.5888	
33997	0.88551	-0.8148	2.6664	
33998	0.86306	-0.79235	2.643	
33999	0.87537	-0.80466	2.6125	
34000	0.85924	-0.82389	2.6421	
34001	0.88483	-0.84948	2.6077	
34002	0.86292	-0.79221	2.7041	
34003	0.85177	-0.78106	2.6618	
34004	0.84795	-0.81259	2.6609	
34005	0.82899	-0.79364	2.694	
34006	0.84033	-0.76962	2.7417	
34007	0.84047	-0.76976	2.6806	
34008	0.81892	-0.74821	2.7066	
34009	0.8177	-0.78234	2.7128	
34010	0.81774	-0.74703	2.7794	
34011	0.79532	-0.72461	2.7559	
34012	0.80762	-0.73691	2.7254	
34013	0.7832	-0.74785	2.777	
34014	0.8064	-0.77105	2.7317	
34015	0.79515	-0.72444	2.817	
34016	0.78402	-0.71331	2.7747	
34017	0.77191	-0.73655	2.7959	
34018	0.77256	-0.70185	2.8547	
34019	0.77273	-0.70202	2.7936	
34020	0.75368	-0.68297	2.8185	
34021	0.76061	-0.72526	2.8147	
34022	0.74997	-0.67925	2.8923	
34023	0.72768	-0.65697	2.8681	
34024	0.74238	-0.67167	2.8374	
34025	0.74932	-0.71396	2.8335	
34026	0.72534	-0.69014	2.8662	
34027	0.72738	-0.65666	2.93	
34028	0.71638	-0.64567	2.8869	
34029	0.69421	-0.66117	2.918	
34030	0.71405	-0.67884	2.885	
34031	0.70478	-0.63407	2.9676	
34032	0.70509	-0.63437	2.9057	
34033	0.68438	-0.61367	2.9308	
34034	0.68291	-0.64988	2.9368	
34035	0.68219	-0.61148	3.0053	
34036	0.6571	-0.58639	2.9763	
34037	0.67308	-0.60237	2.9496	
34038	0.67162	-0.63858	2.9556	
34039	0.64485	-0.60785	2.9996	
34040	0.6596	-0.58889	3.0429	
34041	0.6458	-0.57509	2.9951	
34042	0.63355	-0.59656	3.0185	
34043	0.63701	-0.5663	3.0806	
34044	0.63451	-0.5638	3.0139	
34045	0.62779	-0.55708	3.0544	
34046	0.62226	-0.58526	3.0373	
34047	0.61442	-0.54371	3.1182	
34048	0.6165	-0.54579	3.0732	
34049	0.58799	-0.55226	3.0943	
34050	0.61096	-0.57396	3.0561	
34051	0.59183	-0.52112	3.1559	
34052	0.57735	-0.50663	3.1278	
34053	0.6052	-0.53449	3.0921	
34054	0.57669	-0.54097	3.1131	
34055	0.56924	-0.49853	3.1935	
34056	0.56605	-0.49534	3.1466	
34057	0.53069	-0.53069	3.1466	
34058	0.5654	-0.52967	3.1319	
34059	0.53475	-0.49883	3.1827	
34060	0.52897	-0.49362	3.2312	
34061	0.55475	-0.48404	3.1654	
34062	0.52345	-0.48754	3.2015	
34063	1.9586	-1.8878	0.77133	
34064	1.9412	-1.8705	0.75	
34065	1.971	-1.8669	0.75	
34066	1.9433	-1.9085	0.76865	
34067	1.9384	-1.9144	0.73188	
34068	1.9651	-1.8774	0.70387	
34069	1.9586	-1.8878	0.814	
34070	1.9412	-1.8705	0.77133	
34071	1.9433	-1.9085	0.78999	
34072	1.9327	-1.862	0.82278	
34073	1.9248	-1.8926	0.80333	
34074	1.9489	-1.9015	0.85403	
34075	1.9433	-1.9085	0.81132	
34076	1.9327	-1.862	0.84411	
34077	1.9248	-1.8926	0.82466	
34078	0.51736	-0.44665	0.75	
34079	0.5	-0.42929	0.77237	
34080	0.5	-0.40544	0.75	
34081	0.53251	-0.3956	0.75	
34082	0.52042	-0.46687	0.7375	
34083	0.47194	-0.454	0.7375	
34084	0.49952	-0.41745	0.7375	
34085	0.54769	-0.4316	0.7375	
34086	0.47595	-0.40957	0.76612	
34087	0.49652	-0.45821	0.76729	
34088	0.45406	-0.4385	0.75946	
34089	1.9065	-1.8358	0.75	
34090	1.9596	-1.8257	0.75	
34091	1.9526	-1.849	0.75	
34092	1.925	-1.8903	0.76865	
34093	1.9572	-1.8354	0.72524	
34094	1.9193	-1.8955	0.73188	
34095	1.9475	-1.8599	0.70387	
34096	1.9154	-1.8447	0.80145	
34097	1.9074	-1.8752	0.782	
34098	1.9321	-1.8167	0.71681	
34099	1.8859	-1.8738	0.71192	
34100	1.8717	-1.801	0.75	
34101	1.9422	-1.8084	0.75	
34102	1.913	-1.7712	0.75	
34103	1.898	-1.8273	0.80145	
34104	1.8806	-1.8099	0.78012	
34105	1.89	-1.8579	0.782	
34106	1.9148	-1.7993	0.71681	
34107	1.8686	-1.8564	0.71192	
34108	1.8678	-1.8043	0.70963	
34109	1.8651	-1.8348	0.76615	
34110	1.837	-1.7663	0.75	
34111	1.8585	-1.7428	0.75	
34112	1.8957	-1.7539	0.75	
34113	1.8318	-1.7611	0.79711	
34114	1.8633	-1.7926	0.78012	
34115	1.825	-1.7853	0.76652	
34116	1.8974	-1.782	0.71681	
34117	1.8505	-1.787	0.70963	
34118	1.8084	-1.7776	0.73136	
34119	1.8477	-1.8174	0.76615	
34120	1.8023	-1.7316	0.75	
34121	1.8411	-1.7254	0.75	
34122	1.8145	-1.7437	0.79711	
34123	1.8076	-1.768	0.76652	
34124	1.8331	-1.7696	0.70963	
34125	1.791	-1.7602	0.73136	
34126	1.7676	-1.6968	0.75	
34127	1.8237	-1.7081	0.75	
34128	1.8047	-1.6805	0.75	
34129	1.7656	-1.6949	0.79066	
34130	1.7971	-1.7264	0.79711	
34131	1.7902	-1.7506	0.76652	
34132	1.8215	-1.6806	0.71235	
34133	1.8158	-1.7522	0.70963	
34134	1.7629	-1.6956	0.72374	
34135	1.7424	-1.7066	0.77097	
34136	1.7736	-1.7428	0.73136	
34137	1.7328	-1.6621	0.75	
34138	1.7687	-1.6268	0.75	
34139	1.7874	-1.6631	0.75	
34140	1.7483	-1.6776	0.79066	
34141	1.7455	-1.6782	0.72374	
34142	1.725	-1.6892	0.77097	
34143	1.7563	-1.7255	0.73136	
34144	1.6981	-1.6274	0.75	
34145	1.7513	-1.6094	0.75	
34146	1.7309	-1.6602	0.79066	
34147	1.6977	-1.627	0.78771	
34148	1.7282	-1.6608	0.72374	
34149	1.7077	-1.6719	0.77097	
34150	1.6634	-1.5927	0.75	
34151	1.7339	-1.5921	0.75	
34152	1.7011	-1.5581	0.75	
34153	1.6803	-1.6096	0.78771	
34154	1.696	-1.5767	0.71577	
34155	1.7108	-1.6435	0.72374	
34156	1.6903	-1.6545	0.77097	
34157	1.6523	-1.6134	0.76857	
34158	1.6549	-1.6075	0.72907	
34159	1.6286	-1.5579	0.75	
34160	1.6838	-1.5407	0.75	
34161	1.6464	-1.5304	0.75	
34162	1.6306	-1.5599	0.78986	
34163	1.663	-1.5923	0.78771	
34164	1.6786	-1.5593	0.71577	
34165	1.635	-1.5961	0.76857	
34166	1.6375	-1.5901	0.72907	
34167	1.5939	-1.5232	0.75	
34168	1.6291	-1.5131	0.75	
34169	1.6132	-1.5425	0.78986	
34170	1.5865	-1.5536	0.76187	
34171	1.5897	-1.5	0.71105	
34172	1.6612	-1.5419	0.71577	
34173	1.5864	-1.5505	0.72805	
34174	1.6176	-1.5787	0.76857	
34175	1.6202	-1.5727	0.72907	
34176	1.5592	-1.4885	0.75	
34177	1.5813	-1.4537	0.75	
34178	1.6117	-1.4957	0.75	
34179	1.5958	-1.5251	0.78986	
34180	1.5639	-1.4931	0.79112	
34181	1.5691	-1.5363	0.76187	
34182	1.5724	-1.4827	0.71105	
34183	1.569	-1.5331	0.72805	
34184	1.5502	-1.5148	0.75	
34185	1.5245	-1.4538	0.75	
34186	1.564	-1.4364	0.75	
34187	1.5465	-1.4758	0.79112	
34188	1.555	-1.4653	0.71105	
34189	1.5328	-1.4975	0.75	
34190	1.4897	-1.419	0.75	
34191	1.5165	-1.3846	0.75	
34192	1.5466	-1.419	0.75	
34193	1.4979	-1.4272	0.80369	
34194	1.5291	-1.4584	0.79112	
34195	1.5376	-1.448	0.71105	
34196	1.4863	-1.4549	0.76251	
34197	1.4961	-1.4729	0.7261	
34198	1.4674	-1.4385	0.73091	
34199	1.5155	-1.4801	0.75	
34200	1.455	-1.3843	0.75	
34201	1.4992	-1.3672	0.75	
34202	1.4805	-1.4098	0.80369	
34203	1.4575	-1.3868	0.7833	
34204	1.5203	-1.4306	0.71105	
34205	1.4501	-1.3664	0.71075	
34206	1.469	-1.4375	0.76251	
34207	1.45	-1.4211	0.73091	
34208	1.4655	-1.4212	0.68907	
34209	1.4473	-1.4119	0.76665	
34210	1.4203	-1.3496	0.75	
34211	1.4431	-1.313	0.75	
34212	1.4818	-1.3499	0.75	
34213	1.4401	-1.3694	0.7833	
34214	1.4328	-1.349	0.71075	
34215	1.4084	-1.3727	0.73352	
34216	1.4327	-1.4038	0.73091	
34217	1.4299	-1.3945	0.76665	
34218	1.4029	-1.3675	0.76736	
34219	1.3856	-1.3148	0.75	
34220	1.4257	-1.2957	0.75	
34221	1.3943	-1.3236	0.78446	
34222	1.4228	-1.3521	0.7833	
34223	1.4154	-1.3317	0.71075	
34224	1.3911	-1.3553	0.73352	
34225	1.3855	-1.3502	0.76736	
34226	1.3508	-1.2801	0.75	
34227	1.3789	-1.2374	0.75	
34228	1.4084	-1.2783	0.75	
34229	1.3769	-1.3062	0.78446	
34230	1.398	-1.3143	0.71075	
34231	1.3628	-1.2619	0.71184	
34232	1.3364	-1.3441	0.71025	
34233	1.3206	-1.2899	0.72774	
34234	1.3737	-1.338	0.73352	
34235	1.336	-1.3006	0.77255	
34236	1.3682	-1.3328	0.76736	
34237	1.3161	-1.2454	0.75	
34238	1.3616	-1.22	0.75	
34239	1.321	-1.2503	0.79617	
34240	1.3596	-1.2888	0.78446	
34241	1.3454	-1.2446	0.71184	
34242	1.3032	-1.2726	0.72774	
34243	1.3186	-1.2833	0.77255	
34244	1.2814	-1.2107	0.75	
34245	1.3442	-1.2027	0.75	
34246	1.3041	-1.1901	0.75	
34247	1.3036	-1.2329	0.79617	
34248	1.2616	-1.2616	0.77485	
34249	1.3281	-1.2272	0.71184	
34250	1.2859	-1.2552	0.72774	
34251	1.3013	-1.2659	0.77255	
34252	1.265	-1.2296	0.79101	
34253	1.2466	-1.1759	0.75	
34254	1.2868	-1.1727	0.75	
34255	1.2863	-1.2156	0.79617	
34256	1.251	-1.1803	0.80717	
34257	1.2402	-1.1695	0.77858	
34258	1.2659	-1.1572	0.71093	
34259	1.3107	-1.2098	0.71184	
34260	1.2202	-1.1921	0.72216	
34261	1.2685	-1.2378	0.72774	
34262	1.2265	-1.1912	0.76296	
34263	1.2476	-1.2123	0.79101	
34264	1.2119	-1.1412	0.75	
34265	1.2604	-1.1156	0.75	
34266	1.2694	-1.1554	0.75	
34267	1.2228	-1.1521	0.77858	
34268	1.2485	-1.1398	0.71093	
34269	1.2029	-1.1747	0.72216	
34270	1.2091	-1.1738	0.76296	
34271	1.1772	-1.1065	0.75	
34272	1.243	-1.0982	0.75	
34273	1.1996	-1.0702	0.75	
34274	1.1715	-1.1008	0.77539	
34275	1.2054	-1.1347	0.77858	
34276	1.1637	-1.1248	0.75724	
34277	1.1701	-1.1066	0.71442	
34278	1.2312	-1.1224	0.71093	
34279	1.1855	-1.1574	0.72216	
34280	1.1918	-1.1564	0.76296	
34281	1.1425	-1.0718	0.75	
34282	1.1822	-1.0528	0.75	
34283	1.1542	-1.0834	0.77539	
34284	1.1463	-1.1075	0.75724	
34285	1.1527	-1.0893	0.71442	
34286	1.1077	-1.037	0.75	
34287	1.1649	-1.0355	0.75	
34288	1.125	-1.0082	0.75	
34289	1.1368	-1.0661	0.77539	
34290	1.1021	-1.0314	0.77493	
34291	1.1289	-1.0901	0.75724	
34292	1.1354	-1.0719	0.71442	
34293	1.0919	-1.0607	0.75831	
34294	1.1066	-1.0713	0.79252	
34295	1.1091	-1.0872	0.73573	
34296	1.073	-1.0023	0.75	
34297	1.1076	-0.99082	0.75	
34298	1.0551	-1.0327	0.725	
34299	1.0823	-0.99749	0.725	
34300	1.0848	-1.0141	0.77493	
34301	1.0745	-1.0433	0.75831	
34302	1.0383	-0.96757	0.75	
34303	1.0902	-0.97345	0.75	
34304	1.0596	-0.94862	0.75	
34305	1.0546	-0.95217	0.725	
34306	1.0278	-0.983	0.725	
34307	1.0378	-1.0154	0.725	
34308	1.0649	-0.98012	0.725	
34309	1.0674	-0.9967	0.77493	
34310	1.0326	-0.96194	0.77487	
34311	1.021	-0.9872	0.76015	
34312	1.0572	-1.026	0.75831	
34313	1.0399	-1.0027	0.79506	
34314	1.0036	-0.93284	0.75	
34315	1.0422	-0.93126	0.75	
34316	1.0373	-0.93481	0.725	
34317	1.0104	-0.96563	0.725	
34318	1.0153	-0.94457	0.77487	
34319	1.0037	-0.96984	0.76015	
34320	0.96882	-0.89811	0.75	
34321	1.0144	-0.87785	0.75	
34322	1.0249	-0.91389	0.75	
34323	0.96509	-0.9221	0.725	
34324	1.0199	-0.91745	0.725	
34325	0.99392	-0.88526	0.725	
34326	0.99308	-0.94827	0.725	
34327	0.99792	-0.92721	0.77487	
34328	0.96314	-0.89243	0.77486	
34329	0.96008	-0.92646	0.77198	
34330	0.98631	-0.95247	0.76015	
34331	0.9341	-0.86338	0.75	
34332	0.99705	-0.86048	0.75	
34333	0.96641	-0.82306	0.75	
34334	0.94773	-0.90473	0.725	
34335	0.97656	-0.8679	0.725	
34336	0.96122	-0.83208	0.725	
34337	0.93013	-0.87059	0.725	
34338	0.94578	-0.87507	0.77486	
34339	0.94272	-0.90909	0.77198	
34340	0.9147	-0.87428	0.76862	
34341	0.89937	-0.82866	0.75	
34342	0.94905	-0.8057	0.75	
34343	0.94386	-0.81472	0.725	
34344	0.91276	-0.85323	0.725	
34345	0.92841	-0.8577	0.77486	
34346	0.89363	-0.82292	0.77485	
34347	0.89733	-0.85692	0.76862	
34348	0.86464	-0.79393	0.75	
34349	0.93169	-0.78833	0.75	
34350	0.8819	-0.76151	0.75	
34351	0.8468	-0.83265	0.725	
34352	0.87665	-0.79271	0.725	
34353	0.92649	-0.79736	0.725	
34354	0.8954	-0.83586	0.725	
34355	0.87627	-0.80556	0.77485	
34356	0.87997	-0.83955	0.76862	
34357	0.84087	-0.80627	0.7628	
34358	0.82991	-0.7592	0.75	
34359	0.81924	-0.76602	0.73315	
34360	0.86453	-0.74415	0.75	
34361	0.82944	-0.81529	0.725	
34362	0.85928	-0.77534	0.725	
34363	0.85891	-0.7882	0.77485	
34364	0.823	-0.75229	0.77983	
34365	0.82351	-0.7889	0.7628	
34366	0.79518	-0.72447	0.75	
34367	0.80188	-0.74866	0.73315	
34368	0.83283	-0.71387	0.73273	
34369	0.83736	-0.69428	0.75	
34370	0.84717	-0.72678	0.75	
34371	0.80563	-0.73492	0.77983	
34372	0.80615	-0.77154	0.7628	
34373	0.76046	-0.68975	0.75	
34374	0.82	-0.67692	0.75	
34375	0.77543	-0.67122	0.75	
34376	0.76023	-0.68952	0.80404	
34377	0.78827	-0.71756	0.77983	
34378	0.75291	-0.75291	0.77983	
34379	0.73813	-0.71458	0.7375	
34380	0.76928	-0.6956	0.7375	
34381	0.74451	-0.7113	0.77039	
34382	0.72573	-0.65502	0.75	
34383	0.75806	-0.65386	0.75	
34384	0.74287	-0.67216	0.80404	
34385	0.71909	-0.65144	0.7375	
34386	0.72076	-0.69721	0.7375	
34387	0.75191	-0.67824	0.7375	
34388	0.72715	-0.69394	0.77039	
34389	0.691	-0.62029	0.75	
34390	0.70689	-0.59954	0.75	
34391	0.7407	-0.6365	0.75	
34392	0.7255	-0.65479	0.80404	
34393	0.69891	-0.6282	0.77466	
34394	0.70172	-0.63408	0.7375	
34395	0.7034	-0.67985	0.7375	
34396	0.70978	-0.67657	0.77039	
34397	0.67384	-0.63721	0.76361	
34398	0.68649	-0.65126	0.79715	
34399	0.65627	-0.58556	0.75	
34400	0.68953	-0.58218	0.75	
34401	0.68154	-0.61083	0.77466	
34402	0.64365	-0.59199	0.7375	
34403	0.68436	-0.61671	0.7375	
34404	0.69508	-0.57373	0.7375	
34405	0.65647	-0.61984	0.76361	
34406	0.62155	-0.55084	0.75	
34407	0.66293	-0.52547	0.75	
34408	0.67216	-0.56481	0.75	
34409	0.65033	-0.57962	0.80275	
34410	0.61794	-0.54723	0.78465	
34411	0.66418	-0.59347	0.77466	
34412	0.62628	-0.57462	0.7375	
34413	0.63497	-0.53653	0.7375	
34414	0.67771	-0.55636	0.7375	
34415	0.61681	-0.58074	0.78039	
34416	0.63911	-0.60248	0.76361	
34417	0.58682	-0.51611	0.75	
34418	0.64557	-0.50811	0.75	
34419	0.61288	-0.48538	0.75	
34420	0.60058	-0.52987	0.78465	
34421	0.56522	-0.56522	0.78465	
34422	0.57251	-0.51896	0.7375	
34423	0.60892	-0.55726	0.7375	
34424	0.6176	-0.51916	0.7375	
34425	0.56763	-0.55899	0.7375	
34426	0.56716	-0.53074	0.78458	
34427	0.59945	-0.56338	0.78039	
34428	0.55209	-0.48138	0.75	
34429	0.59552	-0.46802	0.75	
34430	0.58321	-0.5125	0.78465	
34431	0.5564	-0.48569	0.77942	
34432	0.55514	-0.50159	0.7375	
34433	0.58242	-0.46633	0.7375	
34434	0.60024	-0.5018	0.7375	
34435	0.5498	-0.51338	0.78458	
34436	0.53124	-0.49293	0.76729	
34437	0.51736	-0.44665	0.77237	
34438	0.54988	-0.41296	0.75	
34439	0.57815	-0.45065	0.75	
34440	0.53904	-0.46833	0.77942	
34441	0.53778	-0.48423	0.7375	
34442	0.56506	-0.44897	0.7375	
34443	0.51388	-0.47557	0.76729	
34444	0.5	-0.42929	1.0408	
34445	0.52264	-0.45192	1.0305	
34446	0.5	-0.39799	1.0268	
34447	0.47732	-0.41815	1.0591	
34448	0.48973	-0.45315	1.0262	
34449	0.50475	-0.46848	1.0595	
34450	0.5	-0.42929	0.99606	
34451	0.52264	-0.45192	1.0082	
34452	0.5	-0.39799	1.0044	
34453	0.45998	-0.41886	0.9914	
34454	0.47732	-0.41815	1.0367	
34455	0.48973	-0.45315	1.0039	
34456	0.5	-0.42929	0.95132	
34457	0.52264	-0.45192	0.98581	
34458	0.5	-0.39799	0.98208	
34459	0.45998	-0.41886	0.96903	
34460	0.48973	-0.45315	0.9815	
34461	0.5	-0.42929	0.90658	
34462	0.53867	-0.46796	0.93912	
34463	0.52264	-0.45192	0.96344	
34464	0.52579	-0.45508	0.90339	
34465	0.5	-0.37973	0.91567	
34466	0.5	-0.39799	0.95971	
34467	0.45998	-0.41886	0.94666	
34468	0.49585	-0.46155	0.90255	
34469	0.48973	-0.45315	0.95913	
34470	0.46399	-0.43378	0.89623	
34471	0.5	-0.42929	0.86185	
34472	0.52579	-0.45508	0.88102	
34473	0.5	-0.37973	0.8933	
34474	0.5	-0.40231	0.85148	
34475	0.49585	-0.46155	0.88018	
34476	0.46399	-0.43378	0.87386	
34477	0.5	-0.42929	0.81711	
34478	0.52168	-0.45097	0.82416	
34479	0.52579	-0.45508	0.85865	
34480	0.5	-0.40231	0.82911	
34481	0.49585	-0.46155	0.85781	
34482	0.47595	-0.40957	0.81086	
34483	0.49652	-0.45821	0.81202	
34484	0.46399	-0.43378	0.85149	
34485	0.45406	-0.4385	0.8042	
34486	0.5	-0.40544	0.77237	
34487	0.52168	-0.45097	0.80179	
34488	0.5	-0.40231	0.80674	
34489	0.47595	-0.40957	0.78849	
34490	0.49652	-0.45821	0.78965	
34491	0.45406	-0.4385	0.78183	
34492	-0.2488	-2.4504e-002	2.85	
34493	-0.2488	2.4504e-002	2.85	
34494	-0.2497	1.2267e-002	2.8721	
34495	-0.24999	-1.5838e-003	2.8932	
34496	-0.28537	-9.8815e-003	2.85	
34497	-0.27661	2.9637e-002	2.85	
