Node Number	X Location (in)	Y Location (in)	Z Location (in)	
173	1.0702	-0.25418	0.7	
174	1.0806	-0.20556	0.7	
175	1.0888	-0.15652	0.7	
176	1.0948	-0.10716	0.7	
177	1.0985	-5.7583e-002	0.7	
178	1.1	-7.8866e-003	0.7	
179	1.0992	4.1826e-002	0.7	
180	1.0962	9.1454e-002	0.7	
181	1.0909	0.14089	0.7	
182	1.0835	0.19005	0.7	
183	1.0738	0.23881	0.7	
184	1.0619	0.28709	0.7	
185	1.0478	0.33478	0.7	
186	1.0316	0.38178	0.7	
187	1.0133	0.42801	0.7	
188	0.99294	0.47336	0.7	
189	0.97053	0.51775	0.7	
190	0.94615	0.56107	0.7	
191	0.91983	0.60326	0.7	
192	0.89163	0.6442	0.7	
193	0.86161	0.68384	0.7	
194	0.82983	0.72207	0.7	
195	0.79635	0.75883	0.7	
196	0.76125	0.79404	0.7	
197	0.72459	0.82763	0.7	
198	0.68645	0.85953	0.7	
199	0.64691	0.88967	0.7	
200	0.60605	0.91799	0.7	
201	0.56395	0.94444	0.7	
202	0.52069	0.96896	0.7	
203	0.47638	0.9915	0.7	
204	0.43109	1.012	0.7	
205	0.38492	1.0305	0.7	
206	0.33796	1.0468	0.7	
207	0.29031	1.061	0.7	
208	0.24207	1.073	0.7	
209	0.19334	1.0829	0.7	
210	0.14421	1.0905	0.7	
211	9.4784e-002	1.0959	0.7	
212	4.5166e-002	1.0991	0.7	
213	-4.5441e-003	1.1	0.7	
214	-5.4245e-002	1.0987	0.7	
215	-0.10384	1.0951	0.7	
216	-0.15321	1.0893	0.7	
217	-0.20228	1.0812	0.7	
218	-0.25093	1.071	0.7	
219	-0.29907	1.0586	0.7	
220	-0.3466	1.044	0.7	
221	-0.39342	1.0272	0.7	
222	-0.43943	1.0084	0.7	
223	-0.48455	0.98753	0.7	
224	-0.52868	0.96462	0.7	
225	-0.57173	0.93975	0.7	
226	-0.61361	0.91295	0.7	
227	-0.65424	0.88429	0.7	
228	-0.69353	0.85383	0.7	
229	-0.7314	0.82161	0.7	
230	-0.76778	0.78772	0.7	
231	-0.80259	0.75223	0.7	
232	-0.83576	0.71519	0.7	
233	-0.86723	0.67669	0.7	
234	-0.89692	0.63682	0.7	
235	-0.92478	0.59564	0.7	
236	-0.95075	0.55324	0.7	
237	-0.97478	0.50971	0.7	
238	-0.99682	0.46514	0.7	
239	-1.0168	0.41962	0.7	
240	-1.0347	0.37325	0.7	
241	-1.0505	0.32611	0.7	
242	-1.0642	0.27831	0.7	
243	-1.0757	0.22993	0.7	
244	-1.085	0.18109	0.7	
